Marijuana Arrests By Agency 2011-2013,April 22/2015,,,,
,Page,1,,,
,,,,,
Ansonia Police Department,,,,,
IncidentDate,Description,SexCode,RaceCode,EthnicityCode,Age
3/1/2011,Marijuana,M,W,H,17
3/8/2011,Marijuana,M,B,N,30
3/22/2011,Marijuana,M,B,N,30
4/15/2011,Marijuana,F,W,N,24
4/25/2011,Marijuana,M,B,N,22
4/25/2011,Marijuana,M,B,N,33
4/27/2011,Marijuana,M,B,N,21
4/27/2011,Marijuana,M,W,N,19
5/1/2011,Marijuana,M,B,N,22
5/2/2011,Marijuana,M,B,N,22
5/4/2011,Marijuana,M,B,N,29
5/19/2011,Marijuana,M,W,N,14
5/19/2011,Marijuana,M,W,N,17
5/29/2011,Marijuana,F,W,N,32
7/5/2011,Marijuana,M,U,N,19
7/14/2011,Marijuana,M,W,N,57
7/14/2011,Marijuana,F,W,N,57
8/13/2011,Marijuana,M,W,N,18
11/13/2011,Marijuana,M,W,N,23
11/21/2011,Marijuana,M,W,H,18
11/21/2011,Marijuana,M,W,H,15
11/21/2011,Marijuana,M,W,H,19
11/21/2011,Marijuana,M,W,,17
11/28/2011,Marijuana,M,W,N,30
11/28/2011,Marijuana,M,W,N,44
1/7/2012,Marijuana,M,W,N,52
1/24/2012,Marijuana,F,W,N,18
1/31/2012,Marijuana,F,W,N,23
2/5/2012,Marijuana,M,W,N,15
2/16/2012,Marijuana,M,W,N,33
2/16/2012,Marijuana,F,W,N,70
2/16/2012,Marijuana,F,B,N,31
3/1/2012,Marijuana,M,W,N,26
3/29/2012,Marijuana,M,W,H,16
7/11/2012,Marijuana,M,B,N,23
7/11/2012,Marijuana,F,B,N,22
7/11/2012,Marijuana,M,B,N,28
8/28/2012,Marijuana,F,B,N,27
8/28/2012,Marijuana,M,B,N,26
8/30/2012,Marijuana,M,B,U,25
9/3/2012,Marijuana,M,W,N,25
9/14/2012,Marijuana,M,B,N,18
10/27/2012,Marijuana,M,B,N,29
10/29/2012,Marijuana,M,B,U,39
12/1/2012,Marijuana,M,W,H,19
,,,,,
Unit of Count:  Report reflects the count  of PropertyDrugs associated with Group 'A' Incidents.,,,,,
(NSS DRUG-01I),,,,,
,,,,,
Report Params: AgencyID = (* - All ORI's); Date Range  = (2011/1/1 - 2013/12/31),,,,,
,,,,,
Marijuana Arrests By Agency 2011-2013,April 22/2015,,,,
,Page,2,,,
,,,,,
Ansonia Police Department,,,,,
IncidentDate,Description,SexCode,RaceCode,EthnicityCode,Age
12/5/2012,Marijuana,F,B,N,20
12/5/2012,Marijuana,M,B,N,16
12/5/2012,Marijuana,M,B,H,22
12/10/2012,Marijuana,M,W,N,26
12/13/2012,Marijuana,M,B,N,25
12/23/2012,Marijuana,F,W,N,43
12/23/2012,Marijuana,M,W,H,41
