department,race_ethnicity,arrests,total_arrests,percent_of_total_arrests,total_pop,population,percent_of_population
Ansonia Police Department,Black,41,92,44.57,19128,1574,8.23
Ansonia Police Department,Hispanic,13,92,14.13,19128,4323,22.6
Ansonia Police Department,Unknown,1,92,1.09,NA,NA,NA
Ansonia Police Department,White,37,92,40.22,19128,15820,82.71
Avon Police Department,Asian,1,49,2.04,18298,1526,8.34
Avon Police Department,Black,4,49,8.16,18298,76,0.42
Avon Police Department,Hispanic,2,49,4.08,18298,472,2.58
Avon Police Department,Indian,1,49,2.04,18298,0,0
Avon Police Department,White,41,49,83.67,18298,16310,89.14
Berlin Police Department,Asian,1,54,1.85,20352,649,3.19
Berlin Police Department,Black,3,54,5.56,20352,197,0.97
Berlin Police Department,Hispanic,4,54,7.41,20352,569,2.8
Berlin Police Department,Unknown,2,54,3.7,NA,NA,NA
Berlin Police Department,White,44,54,81.48,20352,19263,94.65
Bethel Police Department,Asian,1,60,1.67,19078,850,4.46
Bethel Police Department,Black,3,60,5,19078,293,1.54
Bethel Police Department,Hispanic,6,60,10,19078,1301,6.82
Bethel Police Department,Unknown,1,60,1.67,NA,NA,NA
Bethel Police Department,White,49,60,81.67,19078,16957,88.88
Bloomfield Police Department,Black,75,102,73.53,20626,11380,55.17
Bloomfield Police Department,Hispanic,7,102,6.86,20626,1073,5.2
Bloomfield Police Department,White,20,102,19.61,20626,7493,36.33
Branford Police Department,Black,7,51,13.73,28066,335,1.19
Branford Police Department,Hispanic,6,51,11.76,28066,1467,5.23
Branford Police Department,Unknown,1,51,1.96,NA,NA,NA
Branford Police Department,White,37,51,72.55,28066,25726,91.66
Bristol Police Department,Asian,2,139,1.44,60556,1178,1.95
Bristol Police Department,Black,28,139,20.14,60556,1911,3.16
Bristol Police Department,Hispanic,30,139,21.58,60556,6476,10.69
Bristol Police Department,Unknown,1,139,0.72,NA,NA,NA
Bristol Police Department,White,78,139,56.12,60556,53606,88.52
Brookfield Police Department,Asian,1,74,1.35,16774,944,5.63
Brookfield Police Department,Black,4,74,5.41,16774,120,0.72
Brookfield Police Department,Hispanic,4,74,5.41,16774,735,4.38
Brookfield Police Department,White,65,74,87.84,16774,15273,91.05
C.C.S.U. Police Department,Black,1,10,10,NA,NA,NA
C.C.S.U. Police Department,Hispanic,1,10,10,NA,NA,NA
C.C.S.U. Police Department,Unknown,1,10,10,NA,NA,NA
C.C.S.U. Police Department,White,7,10,70,NA,NA,NA
Canton Police Department,Black,1,19,5.26,10334,51,0.49
Canton Police Department,Unknown,2,19,10.53,NA,NA,NA
Canton Police Department,White,16,19,84.21,10334,9874,95.55
Capitol Police Department,Hispanic,1,1,100,NA,NA,NA
Cheshire Police Department,Black,10,68,14.71,29272,1370,4.68
Cheshire Police Department,Hispanic,5,68,7.35,29272,1982,6.77
Cheshire Police Department,White,53,68,77.94,29272,24041,82.13
Clinton Police Department,Asian,2,237,0.84,13188,205,1.55
Clinton Police Department,Black,14,237,5.91,13188,38,0.29
Clinton Police Department,Hispanic,13,237,5.49,13188,860,6.52
Clinton Police Department,Unknown,3,237,1.27,NA,NA,NA
Clinton Police Department,White,205,237,86.5,13188,12705,96.34
Connecticut State Police,Asian,20,1480,1.35,NA,NA,NA
Connecticut State Police,Black,233,1480,15.74,NA,NA,NA
Connecticut State Police,Hispanic,149,1480,10.07,NA,NA,NA
Connecticut State Police,Indian,9,1480,0.61,NA,NA,NA
Connecticut State Police,Unknown,71,1480,4.8,NA,NA,NA
Connecticut State Police,White,998,1480,67.43,NA,NA,NA
Coventry Police Department,Hispanic,2,15,13.33,12434,487,3.92
Coventry Police Department,White,13,15,86.67,12434,11916,95.83
Cromwell Police Department,Asian,1,44,2.27,14077,506,3.59
Cromwell Police Department,Black,8,44,18.18,14077,1056,7.5
Cromwell Police Department,Unknown,2,44,4.55,NA,NA,NA
Cromwell Police Department,White,33,44,75,14077,12017,85.37
Darien Police Department,Black,12,51,23.53,21190,77,0.36
Darien Police Department,Hispanic,11,51,21.57,21190,515,2.43
Darien Police Department,White,28,51,54.9,21190,19703,92.98
Derby Police Department,Black,45,170,26.47,12837,528,4.11
Derby Police Department,Hispanic,25,170,14.71,12837,3273,25.5
Derby Police Department,White,100,170,58.82,12837,10648,82.95
E.C.S.U. Police Department,Unknown,1,14,7.14,NA,NA,NA
E.C.S.U. Police Department,White,13,14,92.86,NA,NA,NA
East Hampton Police Department,Black,28,61,45.9,12936,83,0.64
East Hampton Police Department,Hispanic,4,61,6.56,12936,730,5.64
East Hampton Police Department,Unknown,2,61,3.28,NA,NA,NA
East Hampton Police Department,White,27,61,44.26,12936,12009,92.83
East Hartford Police Department,Asian,1,328,0.3,51211,2940,5.74
East Hartford Police Department,Black,166,328,50.61,51211,12869,25.13
East Hartford Police Department,Hispanic,91,328,27.74,51211,14897,29.09
East Hartford Police Department,Unknown,5,328,1.52,NA,NA,NA
East Hartford Police Department,White,65,328,19.82,51211,26922,52.57
East Haven Police Department,Black,10,52,19.23,29139,1067,3.66
East Haven Police Department,Hispanic,8,52,15.38,29139,3115,10.69
East Haven Police Department,Unknown,2,52,3.85,NA,NA,NA
East Haven Police Department,White,32,52,61.54,29139,24874,85.36
East Windsor Police Department,Asian,1,36,2.78,11353,769,6.77
East Windsor Police Department,Black,4,36,11.11,11353,907,7.99
East Windsor Police Department,Hispanic,1,36,2.78,11353,720,6.34
East Windsor Police Department,White,30,36,83.33,11353,8758,77.14
Easton Police Department,White,13,13,100,7593,7204,94.88
Fairfield Police Department,Asian,2,146,1.37,60678,2842,4.68
Fairfield Police Department,Black,16,146,10.96,60678,1104,1.82
Fairfield Police Department,Hispanic,16,146,10.96,60678,3139,5.17
Fairfield Police Department,Unknown,2,146,1.37,NA,NA,NA
Fairfield Police Department,White,110,146,75.34,60678,54633,90.04
Farmington Police Department,Black,36,206,17.48,25515,559,2.19
Farmington Police Department,Hispanic,29,206,14.08,25515,756,2.96
Farmington Police Department,Indian,1,206,0.49,25515,0,0
Farmington Police Department,White,140,206,67.96,25515,21772,85.33
Glastonbury Police Department,Asian,4,282,1.42,34661,3311,9.55
Glastonbury Police Department,Black,36,282,12.77,34661,820,2.37
Glastonbury Police Department,Hispanic,22,282,7.8,34661,1365,3.94
Glastonbury Police Department,Indian,1,282,0.35,34661,0,0
Glastonbury Police Department,Unknown,1,282,0.35,NA,NA,NA
Glastonbury Police Department,White,218,282,77.3,34661,29614,85.44
Granby Police Department,Asian,1,118,0.85,11310,114,1.01
Granby Police Department,Black,4,118,3.39,11310,126,1.11
Granby Police Department,Hispanic,6,118,5.08,11310,359,3.17
Granby Police Department,White,107,118,90.68,11310,10785,95.36
Greenwich Police Department,Black,16,164,9.76,62141,1227,1.97
Greenwich Police Department,Hispanic,46,164,28.05,62141,7080,11.39
Greenwich Police Department,Unknown,1,164,0.61,NA,NA,NA
Greenwich Police Department,White,101,164,61.59,62141,53882,86.71
Groton City Police Department,Black,13,42,30.95,NA,NA,NA
Groton City Police Department,Hispanic,12,42,28.57,NA,NA,NA
Groton City Police Department,Indian,2,42,4.76,NA,NA,NA
Groton City Police Department,White,15,42,35.71,NA,NA,NA
Groton Town Police Department,Asian,5,209,2.39,NA,NA,NA
Groton Town Police Department,Black,56,209,26.79,NA,NA,NA
Groton Town Police Department,Hispanic,27,209,12.92,NA,NA,NA
Groton Town Police Department,White,121,209,57.89,NA,NA,NA
Hamden Police Department,Black,88,161,54.66,61605,11769,19.1
Hamden Police Department,Hispanic,16,161,9.94,61605,6177,10.03
Hamden Police Department,Unknown,2,161,1.24,NA,NA,NA
Hamden Police Department,White,55,161,34.16,61605,42355,68.75
Madison Police Department,Black,1,13,7.69,18284,67,0.37
Madison Police Department,White,12,13,92.31,18284,17456,95.47
Middlebury Police Department,Hispanic,1,4,25,7575,167,2.2
Middlebury Police Department,White,3,4,75,7575,6695,88.38
Middletown Police Department,Asian,1,356,0.28,47424,2105,4.44
Middletown Police Department,Black,163,356,45.79,47424,6212,13.1
Middletown Police Department,Hispanic,42,356,11.8,47424,4302,9.07
Middletown Police Department,Unknown,8,356,2.25,NA,NA,NA
Middletown Police Department,White,142,356,39.89,47424,36352,76.65
Monroe Police Department,Black,1,15,6.67,19744,136,0.69
Monroe Police Department,Hispanic,1,15,6.67,19744,955,4.84
Monroe Police Department,Unknown,1,15,6.67,NA,NA,NA
Monroe Police Department,White,12,15,80,19744,18547,93.94
Naugatuck Police Department,Asian,1,109,0.92,31790,886,2.79
Naugatuck Police Department,Black,14,109,12.84,31790,1682,5.29
Naugatuck Police Department,Hispanic,18,109,16.51,31790,3139,9.87
Naugatuck Police Department,Unknown,4,109,3.67,NA,NA,NA
Naugatuck Police Department,White,72,109,66.06,31790,27701,87.14
New Canaan Police Department,Black,38,80,47.5,20073,222,1.11
New Canaan Police Department,Hispanic,8,80,10,20073,860,4.28
New Canaan Police Department,White,34,80,42.5,20073,18805,93.68
New Haven Police Department,Asian,1,1451,0.07,130553,6593,5.05
New Haven Police Department,Black,963,1451,66.37,130553,46052,35.27
New Haven Police Department,Hispanic,274,1451,18.88,130553,33935,25.99
New Haven Police Department,Unknown,1,1451,0.07,NA,NA,NA
New Haven Police Department,White,212,1451,14.61,130553,57630,44.14
New London Police Department,Asian,1,384,0.26,27536,917,3.33
New London Police Department,Black,152,384,39.58,27536,4730,17.18
New London Police Department,Hispanic,91,384,23.7,27536,8073,29.32
New London Police Department,Unknown,2,384,0.52,NA,NA,NA
New London Police Department,White,138,384,35.94,27536,16795,60.99
New Milford Police Department,Asian,1,71,1.41,27821,626,2.25
New Milford Police Department,Black,6,71,8.45,27821,661,2.38
New Milford Police Department,Hispanic,5,71,7.04,27821,1763,6.34
New Milford Police Department,White,59,71,83.1,27821,25060,90.08
Newtown Police Department,Asian,1,59,1.69,27960,588,2.1
Newtown Police Department,Black,3,59,5.08,27960,331,1.18
Newtown Police Department,Hispanic,5,59,8.47,27960,2259,8.08
Newtown Police Department,White,50,59,84.75,27960,25655,91.76
North Branford Police Dept.,Hispanic,2,23,8.7,14387,365,2.54
North Branford Police Dept.,White,21,23,91.3,14387,13833,96.15
North Haven Police Department,Black,14,69,20.29,23997,737,3.07
North Haven Police Department,Hispanic,7,69,10.14,23997,891,3.71
North Haven Police Department,White,48,69,69.57,23997,21329,88.88
Norwalk Police Department,Black,334,761,43.89,87214,13386,15.35
Norwalk Police Department,Hispanic,168,761,22.08,87214,19109,21.91
Norwalk Police Department,Indian,1,761,0.13,87214,297,0.34
Norwalk Police Department,Unknown,19,761,2.5,NA,NA,NA
Norwalk Police Department,White,239,761,31.41,87214,63515,72.83
Old Saybrook Police Department,Asian,2,82,2.44,10222,387,3.79
Old Saybrook Police Department,Black,4,82,4.88,10222,104,1.02
Old Saybrook Police Department,Hispanic,1,82,1.22,10222,129,1.26
Old Saybrook Police Department,White,75,82,91.46,10222,9513,93.06
Orange Police Department,Black,13,75,17.33,13947,203,1.46
Orange Police Department,Hispanic,9,75,12,13947,662,4.75
Orange Police Department,Unknown,1,75,1.33,NA,NA,NA
Orange Police Department,White,52,75,69.33,13947,12423,89.07
Plainfield Police Department,Black,3,27,11.11,15270,322,2.11
Plainfield Police Department,Unknown,2,27,7.41,NA,NA,NA
Plainfield Police Department,White,22,27,81.48,15270,14193,92.95
Plymouth Police Department,Black,1,37,2.7,12085,132,1.09
Plymouth Police Department,Hispanic,6,37,16.22,12085,534,4.42
Plymouth Police Department,White,30,37,81.08,12085,11467,94.89
Putnam Police Department,Black,2,38,5.26,9515,50,0.53
Putnam Police Department,Hispanic,3,38,7.89,9515,316,3.32
Putnam Police Department,White,33,38,86.84,9515,9076,95.39
Redding Police Department,Hispanic,1,39,2.56,9267,301,3.25
Redding Police Department,Unknown,1,39,2.56,NA,NA,NA
Redding Police Department,White,37,39,94.87,9267,8805,95.01
Ridgefield Police Department,Hispanic,1,33,3.03,25025,1297,5.18
Ridgefield Police Department,White,32,33,96.97,25025,23793,95.08
S.C.S.U. Police Department,Black,2,13,15.38,NA,NA,NA
S.C.S.U. Police Department,White,11,13,84.62,NA,NA,NA
Seymour Police Department,Black,8,89,8.99,16551,672,4.06
Seymour Police Department,Hispanic,7,89,7.87,16551,1478,8.93
Seymour Police Department,Unknown,1,89,1.12,NA,NA,NA
Seymour Police Department,White,73,89,82.02,16551,14723,88.96
Shelton Police Department,Black,4,30,13.33,40472,418,1.03
Shelton Police Department,Hispanic,7,30,23.33,40472,2211,5.46
Shelton Police Department,White,19,30,63.33,40472,37924,93.7
Simsbury Police Department,Black,2,40,5,23681,573,2.42
Simsbury Police Department,Hispanic,2,40,5,23681,1189,5.02
Simsbury Police Department,White,36,40,90,23681,21420,90.45
Southington Police Department,Asian,1,289,0.35,43509,932,2.14
Southington Police Department,Black,11,289,3.81,43509,529,1.22
Southington Police Department,Hispanic,13,289,4.5,43509,1483,3.41
Southington Police Department,Unknown,1,289,0.35,NA,NA,NA
Southington Police Department,White,263,289,91,43509,41391,95.13
Stamford Police Department,Black,354,770,45.97,125401,17077,13.62
Stamford Police Department,Hispanic,173,770,22.47,125401,33864,27
Stamford Police Department,Indian,1,770,0.13,125401,198,0.16
Stamford Police Department,Unknown,9,770,1.17,NA,NA,NA
Stamford Police Department,White,233,770,30.26,125401,75344,60.08
Stonington Police Department,Asian,2,27,7.41,18539,392,2.11
Stonington Police Department,Black,2,27,7.41,18539,176,0.95
Stonington Police Department,Hispanic,1,27,3.7,18539,685,3.69
Stonington Police Department,White,22,27,81.48,18539,17302,93.33
Stratford Police Department,Asian,2,189,1.06,52092,1518,2.91
Stratford Police Department,Black,83,189,43.92,52092,7895,15.16
Stratford Police Department,Hispanic,30,189,15.87,52092,7363,14.13
Stratford Police Department,White,74,189,39.15,52092,39751,76.31
Suffield Police Department,Black,1,36,2.78,15764,1580,10.02
Suffield Police Department,Hispanic,2,36,5.56,15764,983,6.24
Suffield Police Department,White,33,36,91.67,15764,12989,82.4
Thomaston Police Department,Black,1,11,9.09,7793,54,0.69
Thomaston Police Department,Hispanic,1,11,9.09,7793,177,2.27
Thomaston Police Department,White,9,11,81.82,7793,7431,95.35
Torrington Police Department,Black,13,137,9.49,35774,1026,2.87
Torrington Police Department,Hispanic,14,137,10.22,35774,3062,8.56
Torrington Police Department,Unknown,4,137,2.92,NA,NA,NA
Torrington Police Department,White,106,137,77.37,35774,32017,89.5
Trumbull Police Department,Asian,1,100,1,36444,1598,4.38
Trumbull Police Department,Black,23,100,23,36444,782,2.15
Trumbull Police Department,Hispanic,13,100,13,36444,2945,8.08
Trumbull Police Department,Unknown,1,100,1,NA,NA,NA
Trumbull Police Department,White,62,100,62,36444,32753,89.87
UCONN Health Center,White,2,2,100,NA,NA,NA
UCONN Police Department,Asian,6,125,4.8,NA,NA,NA
UCONN Police Department,Black,16,125,12.8,NA,NA,NA
UCONN Police Department,Hispanic,9,125,7.2,NA,NA,NA
UCONN Police Department,Unknown,1,125,0.8,NA,NA,NA
UCONN Police Department,White,93,125,74.4,NA,NA,NA
Vernon Police Department,Asian,1,158,0.63,29162,1028,3.53
Vernon Police Department,Black,42,158,26.58,29162,1693,5.81
Vernon Police Department,Hispanic,21,158,13.29,29162,2155,7.39
Vernon Police Department,Unknown,4,158,2.53,NA,NA,NA
Vernon Police Department,White,90,158,56.96,29162,24764,84.92
Wallingford Police Department,Black,20,196,10.2,45154,861,1.91
Wallingford Police Department,Hispanic,23,196,11.73,45154,4127,9.14
Wallingford Police Department,Indian,1,196,0.51,45154,102,0.23
Wallingford Police Department,Unknown,3,196,1.53,NA,NA,NA
Wallingford Police Department,White,149,196,76.02,45154,40771,90.29
Waterford Police Department,Black,17,121,14.05,19499,433,2.22
Waterford Police Department,Hispanic,7,121,5.79,19499,1273,6.53
Waterford Police Department,Unknown,5,121,4.13,NA,NA,NA
Waterford Police Department,White,92,121,76.03,19499,17300,88.72
Watertown Police Department,Black,4,55,7.27,22286,378,1.7
Watertown Police Department,Hispanic,3,55,5.45,22286,1068,4.79
Watertown Police Department,White,48,55,87.27,22286,20998,94.22
West Hartford Police Department,Asian,6,401,1.5,63396,4194,6.62
West Hartford Police Department,Black,80,401,19.95,63396,4485,7.07
West Hartford Police Department,Hispanic,92,401,22.94,63396,6259,9.87
West Hartford Police Department,Indian,3,401,0.75,63396,34,0.05
West Hartford Police Department,White,220,401,54.86,63396,51096,80.6
Weston Police Department,Unknown,1,6,16.67,NA,NA,NA
Weston Police Department,White,5,6,83.33,10319,9538,92.43
Westport Police Department,Asian,4,64,6.25,27055,1622,6
Westport Police Department,Black,13,64,20.31,27055,228,0.84
Westport Police Department,Hispanic,3,64,4.69,27055,1239,4.58
Westport Police Department,Unknown,1,64,1.56,NA,NA,NA
Westport Police Department,White,43,64,67.19,27055,24360,90.04
Wethersfield Police Department,Asian,1,84,1.19,26579,1024,3.85
Wethersfield Police Department,Black,13,84,15.48,26579,1172,4.41
Wethersfield Police Department,Hispanic,36,84,42.86,26579,2821,10.61
Wethersfield Police Department,Indian,1,84,1.19,26579,8,0.03
Wethersfield Police Department,White,33,84,39.29,26579,23003,86.55
Willimantic Police Department,Black,11,111,9.91,NA,NA,NA
Willimantic Police Department,Hispanic,40,111,36.04,NA,NA,NA
Willimantic Police Department,Unknown,1,111,0.9,NA,NA,NA
Willimantic Police Department,White,59,111,53.15,NA,NA,NA
Wilton Police Department,Hispanic,1,36,2.78,18519,438,2.37
Wilton Police Department,White,35,36,97.22,18519,16729,90.33
Winchester Police Department,Black,2,34,5.88,11089,161,1.45
Winchester Police Department,White,32,34,94.12,11089,10337,93.22
Windsor Locks Police Department,Black,4,42,9.52,12554,563,4.48
Windsor Locks Police Department,Hispanic,8,42,19.05,12554,548,4.37
Windsor Locks Police Department,Indian,1,42,2.38,12554,12,0.1
Windsor Locks Police Department,White,29,42,69.05,12554,10708,85.3
Windsor Police Department,Black,150,247,60.73,29130,10975,37.68
Windsor Police Department,Hispanic,7,247,2.83,29130,2373,8.15
Windsor Police Department,Unknown,2,247,0.81,NA,NA,NA
Windsor Police Department,White,88,247,35.63,29130,15126,51.93
Wolcott Police Department,Black,4,19,21.05,16724,296,1.77
Wolcott Police Department,Hispanic,3,19,15.79,16724,1041,6.22
Wolcott Police Department,White,12,19,63.16,16724,15866,94.87
Woodbridge Police Department,Black,3,29,10.34,8969,136,1.52
Woodbridge Police Department,Hispanic,2,29,6.9,8969,265,2.95
Woodbridge Police Department,Indian,1,29,3.45,8969,3,0.03
Woodbridge Police Department,Unknown,2,29,6.9,NA,NA,NA
Woodbridge Police Department,White,21,29,72.41,8969,7666,85.47
