"","date","description","gender","race","ethnicity","age","department","year","month","race_ethnicity"
"1",2011-03-01,"Marijuana","M","W","H",17,"Ansonia Police Department",2011,3,"Hispanic"
"2",2011-03-08,"Marijuana","M","B","N",30,"Ansonia Police Department",2011,3,"Black"
"3",2011-03-22,"Marijuana","M","B","N",30,"Ansonia Police Department",2011,3,"Black"
"4",2011-04-15,"Marijuana","F","W","N",24,"Ansonia Police Department",2011,4,"White"
"5",2011-04-25,"Marijuana","M","B","N",22,"Ansonia Police Department",2011,4,"Black"
"6",2011-04-25,"Marijuana","M","B","N",33,"Ansonia Police Department",2011,4,"Black"
"7",2011-04-27,"Marijuana","M","B","N",21,"Ansonia Police Department",2011,4,"Black"
"8",2011-04-27,"Marijuana","M","W","N",19,"Ansonia Police Department",2011,4,"White"
"9",2011-05-01,"Marijuana","M","B","N",22,"Ansonia Police Department",2011,5,"Black"
"10",2011-05-02,"Marijuana","M","B","N",22,"Ansonia Police Department",2011,5,"Black"
"11",2011-05-04,"Marijuana","M","B","N",29,"Ansonia Police Department",2011,5,"Black"
"12",2011-05-19,"Marijuana","M","W","N",14,"Ansonia Police Department",2011,5,"White"
"13",2011-05-19,"Marijuana","M","W","N",17,"Ansonia Police Department",2011,5,"White"
"14",2011-05-29,"Marijuana","F","W","N",32,"Ansonia Police Department",2011,5,"White"
"15",2011-07-05,"Marijuana","M","U","N",19,"Ansonia Police Department",2011,7,"Unknown"
"16",2011-07-14,"Marijuana","M","W","N",57,"Ansonia Police Department",2011,7,"White"
"17",2011-07-14,"Marijuana","F","W","N",57,"Ansonia Police Department",2011,7,"White"
"18",2011-08-13,"Marijuana","M","W","N",18,"Ansonia Police Department",2011,8,"White"
"19",2011-11-13,"Marijuana","M","W","N",23,"Ansonia Police Department",2011,11,"White"
"20",2011-11-21,"Marijuana","M","W","H",18,"Ansonia Police Department",2011,11,"Hispanic"
"21",2011-11-21,"Marijuana","M","W","H",15,"Ansonia Police Department",2011,11,"Hispanic"
"22",2011-11-21,"Marijuana","M","W","H",19,"Ansonia Police Department",2011,11,"Hispanic"
"23",2011-11-21,"Marijuana","M","W","",17,"Ansonia Police Department",2011,11,"White"
"24",2011-11-28,"Marijuana","M","W","N",30,"Ansonia Police Department",2011,11,"White"
"25",2011-11-28,"Marijuana","M","W","N",44,"Ansonia Police Department",2011,11,"White"
"26",2012-01-07,"Marijuana","M","W","N",52,"Ansonia Police Department",2012,1,"White"
"27",2012-01-24,"Marijuana","F","W","N",18,"Ansonia Police Department",2012,1,"White"
"28",2012-01-31,"Marijuana","F","W","N",23,"Ansonia Police Department",2012,1,"White"
"29",2012-02-05,"Marijuana","M","W","N",15,"Ansonia Police Department",2012,2,"White"
"30",2012-02-16,"Marijuana","M","W","N",33,"Ansonia Police Department",2012,2,"White"
"31",2012-02-16,"Marijuana","F","W","N",70,"Ansonia Police Department",2012,2,"White"
"32",2012-02-16,"Marijuana","F","B","N",31,"Ansonia Police Department",2012,2,"Black"
"33",2012-03-01,"Marijuana","M","W","N",26,"Ansonia Police Department",2012,3,"White"
"34",2012-03-29,"Marijuana","M","W","H",16,"Ansonia Police Department",2012,3,"Hispanic"
"35",2012-07-11,"Marijuana","M","B","N",23,"Ansonia Police Department",2012,7,"Black"
"36",2012-07-11,"Marijuana","F","B","N",22,"Ansonia Police Department",2012,7,"Black"
"37",2012-07-11,"Marijuana","M","B","N",28,"Ansonia Police Department",2012,7,"Black"
"38",2012-08-28,"Marijuana","F","B","N",27,"Ansonia Police Department",2012,8,"Black"
"39",2012-08-28,"Marijuana","M","B","N",26,"Ansonia Police Department",2012,8,"Black"
